PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,DailyDate
00yIS,3r3k/p5p1/5q1p/8/P1b5/4Q1RP/6BK/8 b - - 6 42,d8d3 e3e8 c4g8 g3d3,1140,75,100,745,advantage deflection discoveredAttack endgame master short,https://lichess.org/fIQfIXST/black#84,,
00yPS,5k2/p3pp2/7p/2Qp1P2/6B1/6q1/2K5/8 b - - 2 43,g3g4 c5c8 f8g7 f5f6 g7f6 c8g4,1070,90,94,788,crushing discoveredAttack endgame long queenEndgame,https://lichess.org/pyTEOQI7/black#86,,
01GKn,2r2rk1/pbb1qp1p/1pn1p1p1/8/1P1PN3/P2BP2R/2Q1N1PP/5RK1 b - - 3 20,c6b8 e4f6 e7f6 f1f6,966,88,90,611,crushing kingsideAttack middlegame short,https://lichess.org/uBkKtvl9/black#40,,
01LaG,6rk/R7/3p1q1p/3P2pQ/1P2P3/3P1p1P/P1r3PB/1R5K w - - 0 28,a7f7 f3g2 h1g1 f6d4 f7f2 d4f2,1582,76,92,1366,advancedPawn kingsideAttack long mate mateIn3 middlegame,https://lichess.org/UtNFI4I6#55,,
01xdm,r3k2r/4bppp/p2p4/2pPp3/4P1n1/2N2P1q/PP1BQP1P/R3K2R b KQkq - 6 15,g4h2 e1c1 h3f3 h1h2 f3e2 c3e2,1878,80,73,307,advantage castling long middlegame,https://lichess.org/kaULwkrz/black#30,Sicilian_Defense Sicilian_Defense_Alapin_Variation,
027iQ,b4rk1/4bppp/p1q5/4p3/2P1n3/4B1P1/PP2Q1BP/R4RK1 w - - 0 21,e3f2 e4c3 g2c6 c3e2 g1g2 a8c6,2232,96,87,227,crushing long middlegame,https://lichess.org/lQJOhNdj#41,,
029K1,8/R7/3p1rp1/2p1p1kp/1pPnP3/1P3P1P/5KP1/3B4 b - - 1 43,g5f4 h3h4 d4f5 e4f5,2144,79,87,142,crushing endgame quietMove short,https://lichess.org/VrbQCgVu/black#86,,
02Pu3,5r2/3R4/6k1/1p6/p1pB3P/3n2K1/5P2/8 b - - 3 43,f8f7 h4h5 g6h5 d7f7,1546,76,95,22647,crushing deflection endgame short,https://lichess.org/lE1ZWltu/black#86,,
02rnR,2r5/3k2p1/p2p4/1pqR2b1/2n1Bp2/P7/1PP1Q1PP/2K4R b - - 9 26,c5d5 e2g4 d5e6 e4f5 c8c5 f5e6,1812,75,92,3202,crushing long middlegame pin,https://lichess.org/pihAzJje/black#52,,
03bV3,r1bqk2r/1pp1nppp/1pnp4/4p1N1/2B1PP2/8/PPPP2PP/R1BQK2R b KQkq - 1 8,e8g8 d1h5 h7h6 g5f7,1933,78,91,4326,advantage opening short,https://lichess.org/1gS2tOXt/black#16,Kings_Gambit_Declined Kings_Gambit_Declined_Classical_Variation,
03cV1,r2q1rk1/pb2bppp/1p6/n2B4/5B2/5N2/PP3PPP/2RQ1RK1 w - - 1 15,f4c7 d8d5 d1d5 b7d5,1328,76,82,372,crushing master opening short,https://lichess.org/5vHgaf6e#29,Queens_Gambit_Declined Queens_Gambit_Declined_Harrwitz_Attack,
03qSh,r2q1r1k/3n1b1p/p2b1p2/8/3P2QN/2P3PP/P4PB1/R4RK1 b - - 2 19,a8c8 h4f5 f7g6 f5d6,1501,76,90,137,crushing middlegame short,https://lichess.org/HcsK0EXh/black#38,Kings_Indian_Attack Kings_Indian_Attack_Other_variations,
04dFj,2r2rk1/1b1n1pp1/p3p2p/qp1pP3/8/3BPNP1/PP1KQPP1/3R3R w - - 7 18,b2b4 a5b4,1371,77,93,2178,mate mateIn1 middlegame oneMove,https://lichess.org/OFCV5L4d#35,Queens_Pawn_Game Queens_Pawn_Game_London_System,
04hNd,8/7p/2p5/3q1pQ1/4p3/5kPP/3P1P2/6K1 b - - 2 35,d5d3 g5h5,1977,88,90,2956,endgame mate mateIn1 oneMove queenEndgame,https://lichess.org/acB1djfT/black#70,,
05EXs,2r1Q2k/1br3bp/3p2p1/1p1P1q2/1P6/1B6/1B4PP/1R2R1K1 b - - 1 27,c8e8 e1e8 f5f8 e8f8,619,92,100,114,mate mateIn2 middlegame pin short,https://lichess.org/hWGOJ41R/black#54,,
05Vrb,6r1/p1p4k/5P1p/5R1P/2B2RK1/1P4P1/3r4/8 w - - 3 37,g4h4 d2h2,710,79,100,148,endgame master mate mateIn1 oneMove,https://lichess.org/T2HTELuP#73,,
05gES,3R1bk1/2q2n1p/rn2rPp1/2p1p3/p3P3/1P2NN1P/PBQ2P2/3R2K1 w - - 1 32,e3d5 c7d8 d5e7 f8e7 d1d8 e7d8,2093,76,93,3476,advantage hangingPiece long middlegame,https://lichess.org/ppQl8hai#63,,
06cff,r5k1/4pp1p/1n1p2p1/2pP4/P3P3/1P1n1qPP/2QB1P2/4R1KR w - - 3 25,e1e3 f3f2,948,107,96,255,kingsideAttack master mate mateIn1 middlegame oneMove,https://lichess.org/AzYg1ZDR#49,,
06pP5,8/4pp2/3p4/3PP2p/5Pk1/1R4r1/8/4K3 w - - 0 42,b3g3 g4g3 f4f5 f7f6,2262,80,89,308,crushing endgame master masterVsMaster short,https://lichess.org/2xLy723X#83,,
07pYZ,3rr2k/1q2Np1p/1n1Pn1p1/2p3B1/8/8/PP2Q1PP/R2R3K b - - 0 27,e6g5 e2e5 f7f6 e5f6,1468,75,89,857,fork mate mateIn2 middlegame short,https://lichess.org/tB7Fwvaq/black#54,,
087tV,4r1k1/pp1n1rp1/2p1ppNp/6q1/Q2P4/2P4P/PP2RPP1/4R1K1 w - - 2 22,e2e6 e8e6 e1e6 g5g6,1655,76,84,1136,advantage middlegame short,https://lichess.org/FYwV6K3D#43,,
08Cgg,2r5/8/7p/8/2Bk2pP/1p4P1/5P2/1R4K1 b - - 0 52,d4c4 b1c1 c4d3 c1c8,811,82,65,138,crushing endgame master rookEndgame short skewer,https://lichess.org/ltjoTxd0/black#104,,
090Pe,r4r1k/1p2b1p1/2p3bp/4q3/1PBRNp2/P4Q1P/5PP1/3R2K1 w - - 2 24,e4c5 e7c5 b4c5 g6h5,2166,85,88,1510,advantage middlegame short,https://lichess.org/5Pcu91td#47,,
09bA0,2r2bk1/5p2/4p1pp/pPN1P3/Pq3P2/4Q3/6PP/2R3K1 w - - 3 29,c5d7 c8c1 e3c1 b4d4,1156,80,87,1502,crushing endgame short,https://lichess.org/t3XtIoJQ#57,,
0AAe6,8/8/4p1p1/5p1p/1k3P1P/p5P1/P1K5/8 b - - 1 56,b4a4 c2c3 a4b5 c3b3 b5c5 b3a3 e6e5 f4e5 g6g5 h4g5,1895,76,95,5822,crushing endgame pawnEndgame veryLong,https://lichess.org/8FgYqmvx/black#112,,
0ABgy,4r1k1/p2b1ppp/8/2PPp1q1/2P2n2/2R5/P2Q2PN/5BK1 w - - 7 35,c3f3 f4h3 f3h3 g5d2,1595,76,96,14873,crushing discoveredAttack master middlegame pin short,https://lichess.org/vTiWuBwc#69,,
0Ayz6,r1r3kB/5p2/4p1pP/3p4/p7/6Q1/5PP1/6K1 b - - 0 32,g8h8 g3e5 f7f6 e5f6 h8h7 f6g7,1060,89,92,2184,endgame exposedKing long mate mateIn3 queenRookEndgame,https://lichess.org/xuKbdJaw/black#64,,
0B5Fk,4r1k1/p2qbpp1/1p3n1p/3p4/bP1B4/P1RBP3/3N1PPP/1Q4K1 b - - 3 19,e8c8 d3f5 c8c3 f5d7,1875,75,85,221,crushing middlegame short,https://lichess.org/13aTXWj2/black#38,,
0BEld,1k2r3/p3b3/3rQp1p/4p3/1q6/1B1P4/1PP2PPP/4RRK1 w - - 3 25,e1e4 d6e6 e4b4 e7b4 b3e6 e8e6,1812,76,93,6264,advantage long middlegame,https://lichess.org/lXpXFqHz#49,,
0C7kn,r4k2/pb5p/1p4q1/1NpRp3/P7/Q3P1P1/5P1P/6K1 w - - 1 29,d5e5 g6b1 a3c1 b1c1,702,79,79,112,endgame mate mateIn2 short,https://lichess.org/talG4EHU#57,,
0C9Tt,3r4/p6k/1p2p1qp/4Pnb1/3p1Rp1/3Q4/PP1B1P2/2R1K3 w - - 2 33,f4g4 g5d2 e1d2 g6g4,966,76,80,327,crushing discoveredAttack master masterVsMaster middlegame short,https://lichess.org/2smZ11zO#65,,
0CDbf,r3kb1r/5ppp/p2p4/1pp1p3/4P1nn/2PPBNNq/PPB1QP2/R3R1K1 w kq - 4 17,e2f1 h4f3,1159,77,87,321,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/0V0ZSlMp#33,Sicilian_Defense Sicilian_Defense_Old_Sicilian,
0CHH6,r3k1nr/pppb1ppp/2n5/8/8/5N2/PqPQPPPP/RN2KB1R w KQkq - 2 11,d2c3 b2c1,983,76,100,741,mate mateIn1 oneMove opening,https://lichess.org/3L11ZDmA#21,Englund_Gambit Englund_Gambit_Hartlaub-Charlick_Gambit,
0CPFd,8/p5k1/1p3p2/2p1pP1K/P1P1P3/3P4/8/8 b - - 4 62,g7f7 h5h6 a7a6 h6h7,1445,80,84,365,crushing defensiveMove endgame pawnEndgame short,https://lichess.org/qK5TtUNN/black#124,,
0Cede,r7/6pk/7p/8/8/p1PP3P/Rr4P1/2R3K1 w - - 8 44,c1c2 b2c2 a2c2 a3a2 c2a2 a8a2,1488,81,94,1788,advancedPawn crushing endgame long rookEndgame,https://lichess.org/AMyPibvP#87,,
0ChqP,r1r3k1/p2q1ppp/2n1p3/1B1n4/3P1B2/2Q1PP2/5P1P/R1R3K1 w - - 3 19,b5c6 d5c3 c6d7 c3e2 g1g2 c8c1 a1c1 e2c1,1756,76,89,1310,advantage discoveredAttack fork middlegame veryLong,https://lichess.org/gFx5aAPd#37,Queens_Gambit_Accepted Queens_Gambit_Accepted_Normal_Variation,
0E0A7,6k1/P6p/Q2pr1pb/5p2/7P/R1B5/2PK1P2/7q w - - 4 28,d2d3 h1e4,2251,78,100,1296,endgame master mate mateIn1 oneMove,https://lichess.org/ZU4BGZR6#55,,
0E24B,8/8/1P1k4/3P2p1/5p2/5K2/8/8 w - - 3 46,b6b7 d6c7 d5d6 c7b7 d6d7 b7c7 d7d8r c7d8,983,76,100,898,crushing endgame pawnEndgame veryLong,https://lichess.org/Sp8tTbqJ#91,,
0ECfX,r1b1k2r/ppp2ppp/2p5/2b1P3/3q1P2/3P3P/PPP1KnP1/RNB1QB1R w kq - 3 11,c2c3 d4d3,1289,83,92,810,mate mateIn1 oneMove opening,https://lichess.org/1671dWK3#21,Russian_Game Russian_Game_Stafford_Gambit,
0EPV5,6rk/pp3R2/2br4/6p1/3P4/2P1R3/PP4P1/6K1 b - - 2 29,d6d7 e3h3,962,78,100,130,endgame mate mateIn1 oneMove,https://lichess.org/Xq792Wor/black#58,,
0F8ED,r7/pp3k1r/2q2pn1/1bbp1Q2/3R2P1/6B1/P6P/1B2R2K b - - 7 36,c5d4 f5g6 f7f8 g6h7,1280,78,94,6956,crushing fork middlegame short,https://lichess.org/rvC6MEIh/black#72,,
0FA24,r3k2r/ppp2ppp/2p2q2/2b5/4P1b1/3P2P1/PPP1Q2P/RNB1KB1R w KQkq - 3 10,e2g2 g4f3 g2d2 f3h1,1759,77,92,522,advantage middlegame short skewer,https://lichess.org/48QiLiL2#19,Petrovs_Defense Petrovs_Defense_Stafford_Gambit,
0FVOL,8/pp5k/8/4P2p/b1p2P2/2P4P/P4Q1R/2q1K3 w - - 4 43,e1e2 c1d1 e2e3 d1d3,2304,84,88,515,endgame mate mateIn2 short swallowstailMate,https://lichess.org/HHiZR55F#85,,
0FdMV,1k1r3r/pp2n1Qp/2np4/4p3/8/Pq2B1P1/1P3PBP/R3R1K1 w - - 1 19,e3g5 e7f5 g5d8 f5g7,2283,97,90,193,advantage middlegame short,https://lichess.org/rq4iQ05j#37,,
0FgFb,7k/N2Q2pp/8/2q5/2b5/6P1/6BP/5K2 w - - 5 35,f1e1 c5e3 e1d1 c4b3,1855,80,79,160,endgame mate mateIn2 short,https://lichess.org/CTca0AAW#69,,
0GbBl,r1N3k1/pp3Nbp/6p1/2pP4/2P2Pnq/1P6/P6P/2RQRBK1 w - - 1 25,h2h3 h4f2 g1h1 f2h2,2189,85,75,159,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/DbEnH9rV#49,,
0H9u3,5rk1/5ppp/b3pn2/2pp4/rb6/PN2PP2/2K3PP/RN3B1R b - - 0 20,b4e1 f1a6 a4a6 h1e1,1659,77,96,11832,advantage discoveredAttack middlegame short,https://lichess.org/I3uJIgxS/black#40,,
0HGVm,7k/1pp1R2P/1b1p4/8/2P5/1rP2KP1/p3N1P1/8 w - - 1 39,e2f4 b3c3 f3g4 c3c4,1750,77,92,2470,crushing endgame master short,https://lichess.org/aRiKLwpb#77,,
0HPUj,r5rk/5p1p/p6Q/2p3R1/1p1ppq1P/8/PPP5/1K4R1 b - - 7 26,f4f2 h6h7 h8h7 g5h5,1683,74,98,2421,attraction endgame mate mateIn2 sacrifice short,https://lichess.org/Snl495pW/black#52,,
0I2y3,r7/1p1Q1rkp/p1n2qp1/4p3/4P3/1N6/PPP1BPPP/R3K2R w KQ - 1 19,d7d3 f6f2 e1d2 a8d8,1652,74,83,401,attackingF2F7 crushing middlegame pin short,https://lichess.org/fKFjXXcf#37,,
0IUf4,r4k1r/pp3pp1/7p/4R2B/Qb3q2/7P/PP1n2P1/2R4K b - - 0 22,d2e4 a4b4 f8g8 h5f7 g8h7 b4e4 f4e4 e5e4,2250,76,86,510,crushing hangingPiece middlegame veryLong,https://lichess.org/ZJBWRy2z/black#44,,
0Idg0,4rk1r/1p3pp1/p1pR4/4PqN1/2P5/1P4Q1/P4P2/4RbK1 w - - 0 29,g1f1 h8h1 f1g2 h1e1,1231,74,94,11987,advantage deflection master middlegame short skewer,https://lichess.org/0Ww5TfWi#57,,
0JCoU,8/4r1k1/4NR2/1p1pn1PP/p3p3/P1P5/1Pb3P1/6K1 b - - 5 37,g7h7 g5g6 h7h6 g6g7,1808,76,93,268,advancedPawn crushing discoveredAttack discoveredCheck endgame short,https://lichess.org/0WwK3cwW/black#74,,
0K3Na,r1b2Rr1/ppp1R1P1/3p4/8/3kP3/8/P5PP/7K b - - 4 27,c8e6 f8a8 g8a8 e7e6,1580,74,84,445,crushing endgame short,https://lichess.org/JT4MY95H/black#54,,
0KM0D,1n2r1k1/rb5R/p7/5p2/1P3N1P/2P5/P1K1N1P1/4R3 w - - 3 36,h7c7 b7e4 c2b2 a7c7,935,77,98,2489,advantage discoveredAttack middlegame short,https://lichess.org/6Zx1ZHSL#71,,
0KeBg,8/1k3n2/1p6/pK3P1P/P7/6N1/8/8 w - - 1 55,f5f6 f7d6,689,111,95,617,endgame knightEndgame mate mateIn1 oneMove,https://lichess.org/5IvGJ7X7#109,,
0Kn4R,5rk1/pb1RQp1p/2p1p1p1/q7/4B3/1P6/P1P2PPP/6K1 w - - 3 24,g2g3 a5e1 g1g2 e1e4,798,97,95,656,advantage endgame fork short,https://lichess.org/LgdoimGl#47,,
0LDZp,6k1/2p1Qqpp/p7/1pN5/P1b2P2/4R3/1B4PP/3r2K1 w - - 1 29,g1f2 f7f4 e3f3 d1f1,2214,76,93,3450,mate mateIn2 middlegame operaMate short,https://lichess.org/R0Kk1joX#57,,
0LbKW,6k1/2p4p/5R2/1P1r4/8/5PP1/r5P1/6RK w - - 1 42,f6c6 d5h5,755,80,86,328,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/fb5XoMAH#83,,
0LlAD,r1b1r1k1/p1p2p1p/2p2p2/8/3q4/3B1P2/PPPb2PP/R2Q1R1K b - - 3 14,d2f4 d3h7 g8h7 d1d4,689,98,94,2167,crushing discoveredAttack kingsideAttack middlegame short,https://lichess.org/7zYBUUlJ/black#28,Four_Knights_Game Four_Knights_Game_Scotch_Variation_Accepted,
0MCha,r1b2rk1/pp1n1pbp/2n1p1p1/2p1P3/5PPq/P2PN2P/1PPB4/R2QKBNR w KQ - 2 15,e1e2 c6d4,972,78,100,437,mate mateIn1 oneMove opening,https://lichess.org/srnow3NG#29,Van_Geet_Opening Van_Geet_Opening_Other_variations,
0N8rs,7k/3b1Q1p/p5pP/1p6/6P1/2Pq1R1K/P2r4/8 b - - 8 37,d7g4 h3g4 d3e4 g4h3 e4f3 f7f3,2187,78,85,113,crushing endgame hangingPiece long,https://lichess.org/6N9zYqee/black#74,,
0NfSK,3r2k1/4Rp1p/2p5/5p2/p7/P4P2/1RPr2PP/6K1 b - - 0 22,d2e2 e7e2 d8d1 g1f2,1123,78,88,296,advantage endgame hangingPiece rookEndgame short,https://lichess.org/NJce1X43/black#44,,
0OdiW,8/1p5k/pr6/2p1N1Pn/3rK1N1/1P1P2P1/P6P/R3R3 w - - 3 35,e4f5 h5g7,1248,79,93,727,cornerMate mate mateIn1 middlegame oneMove,https://lichess.org/tfRxfyRx#69,,
0OhBM,8/1p2krQ1/1b1p4/p2b4/7q/7P/5PP1/R3R2K b - - 2 32,d5e6 e1e6 e7e6 a1e1 e6d7 g7f7,1243,75,97,2695,advantage attraction deflection long middlegame pin sacrifice,https://lichess.org/Cna9Nw7v/black#64,,
0OtSz,8/5R2/1k3p1p/4b3/2Pn4/3P3P/p4KP1/N7 w - - 6 49,f2e3 d4f5 e3e4 f5d6 e4d5 d6f7,1906,76,88,196,crushing endgame fork long,https://lichess.org/0z3l0lUO#97,,
0PPwj,2r3k1/p3qp1p/6p1/2p1Pp1P/2Q5/2P5/PP1r1PR1/6RK b - - 0 35,e7e5 h5g6 h7g6 g2g6 g8f8 g6g8 f8e7 g8c8 e5e4 c4e4,1865,76,96,9361,crushing endgame pin skewer veryLong,https://lichess.org/ia2JGT1A/black#70,,
0Q0Pd,r3r1k1/p2n1pp1/1ppb1q1p/3p3b/3P4/3BPN1P/PPQN1PP1/R4RK1 w - - 2 15,c2c6 d6h2 g1h2 f6c6,1080,76,100,1086,advantage discoveredAttack middlegame short,https://lichess.org/c4vUC0MH#29,Queens_Pawn_Game Queens_Pawn_Game_London_System,
0R9sM,2r1r3/1b2k3/p2pQ2B/P2P1p2/2p1P3/2p2P1P/6P1/1q3NK1 b - - 4 36,e7d8 e6d6,1511,81,92,5544,epauletteMate master masterVsMaster mate mateIn1 middlegame oneMove,https://lichess.org/Qpe0FzNE/black#72,,
0RQJK,2kr3r/3pqpp1/1bp2n2/1p2P1Bp/3P4/5Q2/1P3PPP/RN2R1K1 w - - 0 18,e5f6 e7e1,707,82,100,112,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/6WQjuXFP#35,Ruy_Lopez Ruy_Lopez_Morphy_Defense,
0Rxvy,r4r1k/1pp3bP/8/p1pPp3/2P1P1bq/2N4P/PPQNpP1R/R3K3 w Q - 1 19,c2d3 f8f2 h2f2 a8f8,1894,77,92,212,advantage attackingF2F7 master masterVsMaster middlegame sacrifice short,https://lichess.org/GwpFeg43#37,,
0SLcN,8/8/pR3p2/6k1/2b4p/6K1/1P5P/8 w - - 0 35,g3h3 c4f1,840,101,95,1366,endgame mate mateIn1 oneMove,https://lichess.org/Fk290E9T#69,,
0ScBI,r1bq1k1Q/ppp1b3/5r2/n2p4/3P4/2PB3N/P1P3PP/R3K2R b KQ - 3 15,f8f7 h3g5,1187,82,90,864,mate mateIn1 middlegame oneMove,https://lichess.org/VBnz7aTm/black#30,Vienna_Game Vienna_Game_Vienna_Gambit,
0Ssb7,r1bq1k1r/ppp2Bpp/1b1p3n/6N1/3nP3/5Q2/PP3PPP/RNB2RK1 w - - 1 12,f3f4 d4e2 g1h1 e2f4,942,106,94,490,crushing fork opening short,https://lichess.org/gFkAPC6W#23,Ruy_Lopez Ruy_Lopez_Classical_Variation,
0TGqk,rn2k2r/pbpp2pp/1p2p2n/8/1bPPP2q/2NB4/PP3NPP/R1BQK2R b KQkq - 2 9,h6g4 d1g4 h4g4 f2g4,920,81,94,184,advantage master opening short,https://lichess.org/UocYsXbx/black#18,English_Opening English_Opening_Other_variations,
0Truh,r2q1r1k/1pp3p1/p2pBPp1/2b1p1Np/4P3/P2P3P/1PP2P2/R1BQK3 w Q - 3 18,g5f7 f8f7 e6f7 d8f6,1134,78,93,144,advantage middlegame short,https://lichess.org/8uECd34f#35,Italian_Game Italian_Game_Two_Knights_Defense,
0UOXE,r1b1k1nr/p1qppp1p/6p1/1N2b3/3B4/8/PPP2PPP/R2QKB1R b KQkq - 3 12,c7a5 b2b4 a5b4 c2c3 b4a5 d4e5,2192,74,95,6864,crushing defensiveMove long master opening,https://lichess.org/zNLQiWTN/black#24,Sicilian_Defense Sicilian_Defense_Hyperaccelerated_Fianchetto,
0Uduc,8/8/7p/1p5P/2p2kP1/2K2P2/8/8 b - - 5 53,f4f3 g4g5 h6g5 h5h6 g5g4 h6h7 g4g3 h7h8q,1246,77,87,876,advancedPawn crushing endgame master pawnEndgame promotion veryLong,https://lichess.org/4oOoZRtZ/black#106,,
0VN0C,r3k1n1/pp3pQ1/3Rpnp1/4q3/2PR4/1P5P/P5P1/6K1 b q - 4 30,e8e7 d6d7 f6d7 d4d7 e7d7 g7e5,1699,74,92,3207,advantage long middlegame sacrifice,https://lichess.org/uU9HtF07/black#60,,
0VTYB,6rr/p7/k1p1Q2B/2Pn4/3q3P/8/P4PPK/1R5R w - - 3 31,h1d1 d4h4 h2g1 h8h6 e6e2 a6a5,2073,75,88,881,crushing long middlegame,https://lichess.org/WYWEWZjk#61,,
0WjHO,4q2k/3p1p2/4p2p/2P1Pp1K/pp3P2/6R1/P5RP/8 w - - 1 35,h5h6 e8f8 h6h5 h8h7 g3g7 f8g7 g2g7 h7g7,2068,81,98,1308,crushing endgame master queenRookEndgame veryLong,https://lichess.org/fcwrOsTO#69,,
0WqEs,8/1p3Rpk/p1b1p3/3pP3/8/3R4/PP4PP/2r3K1 w - - 6 26,f7f1 c1f1 g1f1 c6b5,888,81,86,138,crushing endgame master pin short,https://lichess.org/SMA1pImo#51,,
0Wsr7,6k1/p5p1/3q4/3p4/8/2PQ2pP/PP2R2K/5r2 w - - 0 32,d3g3 f1h1 h2g2 h1g1 g2g1 d6g3,1373,74,94,7285,endgame,https://lichess.org/EKEzwHHU#63,,
0XE3e,5rk1/p3q1bp/6p1/2p1N3/P2p4/3r1BB1/6PP/4RRK1 b - - 0 27,g7e5 f3d5 g8g7 g3e5 e7e5 e1e5,1407,78,89,390,advantage intermezzo long middlegame,https://lichess.org/98nljYVX/black#54,,
0XHd1,8/6p1/p5kp/1p3p1P/1Pqp1Q2/P4P2/6P1/7K b - - 0 37,g6h5 g2g4 h5h4 g4f5 h4h5 f4g4,2221,79,95,2971,discoveredAttack discoveredCheck endgame long mate mateIn3 queenEndgame,https://lichess.org/olNWXzk3/black#74,,
0Z92I,rqb2rk1/1p3pp1/p4b1p/2Pp4/1P1Np3/P3P1P1/5P1P/R2QKB1R b KQ - 1 19,c8g4 d1g4 f6d4 e3d4,1148,77,88,313,advantage hangingPiece middlegame short,https://lichess.org/ar1FD0NH/black#38,Horwitz_Defense Horwitz_Defense_Other_variations,
0ZMW8,5rk1/1pq2p2/p5p1/3p2Pp/3QP1bP/2PB4/2PK4/RR6 w - - 0 26,d4d5 c7f4 d2e1 f4e3 d3e2 e3e2,1936,81,91,1480,long mate mateIn3 middlegame,https://lichess.org/wqF31k6N#51,,
0ZfvO,r1bq1rk1/4bppp/2p1p3/p2n4/2BP4/2N5/PP3PPP/R1BQ1RK1 w - - 0 12,d1a4 d5b6 a4c6 c8d7 c6f3 b6c4,1946,76,91,1135,crushing long opening,https://lichess.org/3EPvhPmp#23,Sicilian_Defense Sicilian_Defense_Smith-Morra_Gambit,
0atF3,3Q1rk1/p3Rp1p/1pp3p1/2n3q1/8/P1B2BP1/7P/4R1K1 b - - 0 29,f8d8 e7e8 d8e8 e1e8,604,83,100,188,mate mateIn2 middlegame pillsburysMate short,https://lichess.org/krB9QsU3/black#58,,
0bQwv,2k2r2/ppp1p1p1/4b2p/1P1p4/P2P4/2PB4/5nPP/R1B1K2R w KQ - 0 20,h1f1 f2d3 e1e2 e6g4 e2d3 f8f1,1915,76,96,2496,advantage deflection exposedKing hangingPiece long middlegame,https://lichess.org/jRglJ6fJ#39,,
0bg8Z,8/8/8/8/2pK4/7P/8/3k4 b - - 1 62,d1e2 h3h4 c4c3 d4c3,1448,74,96,4950,crushing endgame pawnEndgame quietMove short,https://lichess.org/8dzFwpLD/black#124,,
0bhjs,4rrk1/6b1/p3p1B1/1p4Np/2n2p1P/1Q3P2/PP3q2/1K1RR3 w - - 0 25,g5e6 c4d2 d1d2 f2e1 d2d1 e1e6,2364,77,94,3408,crushing deflection fork long middlegame,https://lichess.org/PgLijOCT#49,,
0bzts,8/r4p2/3kp2p/8/p1nN4/7P/R5PK/8 b - - 1 49,a4a3 d4b5 d6c5 b5a7,831,78,86,267,advantage endgame fork short,https://lichess.org/8nrOT498/black#98,,
0cbL3,2r2bk1/R2b2pp/2q1p3/5p2/2PQ1B2/5PP1/6P1/5B1K b - - 0 30,f8c5 d4d7 c5a7 d7a7,1513,76,88,354,advantage master middlegame short,https://lichess.org/GydQjfTM/black#60,,
0d8li,5r2/p1p3k1/1b4p1/8/8/1P1q1N1P/P3R1P1/4QK2 w - - 7 35,e1d2 f8f3 g2f3 d3f3,1475,78,98,1878,crushing endgame short,https://lichess.org/OIsg9VvD#69,,
0dVi8,8/1r2k3/1p6/3p3R/pP2p1n1/P2nP3/3P2R1/1K6 b - - 0 44,g4e5 g2g7 e5f7 g7f7 e7f7 h5h7 f7f8 h7b7,2040,79,89,608,attraction crushing endgame exposedKing master sacrifice skewer veryLong,https://lichess.org/Rh2m6qwx/black#88,,
0eOgh,rn1q1rk1/p4p1p/3p2p1/1bp5/1pP1n3/1B2B3/PR2NPPP/3Q1RK1 b - - 0 16,b5a6 d1d5 d8e7 d5a8 a6b7 a8a7 b8c6 a7b6,1709,77,93,5799,advantage fork interference middlegame trappedPiece veryLong,https://lichess.org/3fCqJI1X/black#32,Philidor_Defense Philidor_Defense_Larsen_Variation,
0eYcK,r1bq1rk1/ppp1bppp/2n1p3/4P1N1/2P3n1/3B4/PP3PPP/RNBQ1RK1 b - - 2 9,g4e5 d3h7 g8h8 d1h5,1538,75,89,1633,crushing kingsideAttack opening short,https://lichess.org/4z5v1yIk/black#18,Rat_Defense Rat_Defense_Small_Center_Defense,
0fk9A,r2qr1k1/pp3pp1/2pb3p/3p1b2/3Pn3/2NQPP2/PPB1N1PP/R4RK1 b - - 0 14,d6h2 g1h2 e4c3 d3c3 f5c2 c3c2,2198,81,92,4408,advantage hangingPiece long middlegame,https://lichess.org/4U5MW4BS/black#28,Queens_Gambit_Declined Queens_Gambit_Declined_Modern_Variation,
0h4TD,r1b1k1nr/pp3ppp/4p3/2bqn3/3N4/4B3/PP3PPP/RN1QKB1R b KQkq - 3 9,e5c4 d1a4 c8d7 a4c4 d5c4 f1c4,1606,74,86,470,advantage long opening,https://lichess.org/98jDjYqW/black#18,French_Defense French_Defense_Advance_Variation,
0hlJc,8/3kb3/6R1/1KpB4/5p2/1P1r1P2/8/8 w - - 11 62,b5c4 d3d4 c4c3 d4d5,1085,78,100,326,crushing deflection endgame master short,https://lichess.org/7OuUlk9z#123,,
0hlew,6k1/p2rqpp1/7p/Q7/8/1P5P/P2p2P1/3R3K b - - 1 36,e7e1 d1e1 d2e1q a5e1,857,78,80,208,advantage endgame short xRayAttack,https://lichess.org/exJlInTZ/black#72,,
0iOSJ,rn2kb1r/p2qpppp/4b3/1p1n4/8/1P2N1P1/2QPPPBP/R1B1K2R w KQkq - 0 13,e3d5 e6d5 g2d5 d7d5 c2c8 d5d8 c8b7 b8d7,1257,74,94,13941,advantage defensiveMove master opening veryLong,https://lichess.org/U4TvAvRy#25,Hungarian_Opening Hungarian_Opening_Indian_Defense,
