PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,DailyDate
9Xu1E,r3r1k1/5p2/q5p1/8/1R2p1Q1/2P1P3/1P3P2/1K5R w - - 3 33,g4h4 a6d3 b1c1 a8a1,1586,78,94,2111,endgame master mate mateIn2 short,https://lichess.org/hxuQiwTL#65,,
9XxAs,8/8/2p1k3/npB5/p2KP3/P1P5/8/8 w - - 9 55,c5b4 a5b3 d4d3 c6c5,1464,77,95,16308,crushing endgame master short,https://lichess.org/oxyRbElr#109,,
9XyGF,1k5r/1pp5/4p3/4R3/2r1P3/4P3/R5P1/6K1 b - - 2 38,c4c3 e5a5 c7c5 a5a8 b8c7 a8h8,1346,81,94,1282,advantage endgame long quietMove rookEndgame skewer,https://lichess.org/FQToJ8AA/black#76,,
9YGSL,6k1/pb1p1p1p/1b2p1p1/4P3/1P1P1P2/2rQR3/P5PP/2r2B1K w - - 5 26,d3c3 c1f1,958,83,91,573,endgame hangingPiece kingsideAttack mate mateIn1 oneMove,https://lichess.org/uFtVB1Y5#51,,
9YGjH,7k/3q1p1P/p5p1/1pQ5/1P1prP2/P7/1B3K2/7R w - - 4 36,h1e1 e4f4 f2e2 d7g4 e2d2 f4f2 d2c1 g4f4 c1b1 f2b2,2179,78,91,2442,crushing endgame exposedKing veryLong,https://lichess.org/5YpTOUec#71,,
9YHLQ,5rk1/pp1r1q2/6p1/3bb1Bp/8/PQ5P/1P1R1PP1/3R2K1 w - - 0 24,d2d5 f7f2 g1h1 f2f1 d1f1 f8f1,1769,77,89,109,long mate mateIn3 middlegame pillsburysMate sacrifice,https://lichess.org/W2FWBk37#47,,
9YSx5,r1b1kbr1/1p2pp2/p2p4/2q3Bn/3NP1n1/2N5/PPPQ2PP/2KR1B1R w q - 5 16,c3d5 g8g5 b2b4 c5a7,2042,76,91,766,advantage master middlegame short,https://lichess.org/LWMFtbZx#31,Sicilian_Defense Sicilian_Defense_Najdorf_Variation,
9ZEwV,5r2/4n3/Q2P1bk1/4p1B1/2P1P1P1/5P1q/3RK3/8 b - - 0 42,f6g5 d6e7 g6h7 e7f8n,1451,80,90,4165,advancedPawn crushing discoveredAttack discoveredCheck endgame master promotion short underPromotion,https://lichess.org/V4QLbTRG/black#84,,
9ZPor,5r1r/pp2k3/3p1n2/4nPqp/3P1R2/4Q2P/PPP3P1/R1B3K1 b - - 0 21,h8g8 e3e2 g5g2 e2g2 g8g2 g1g2,2200,92,90,655,crushing long middlegame,https://lichess.org/Bsw25cA8/black#42,,
9ZZTJ,8/8/8/pk4p1/P3Rb1p/5B2/r7/6K1 b - - 0 47,a2a4 f3e2 b5c5 e4a4,1355,76,91,2576,advantage deflection endgame short,https://lichess.org/0tLHiaTw/black#94,,
